title|gross|opening|theaters|year|genres|imdbid|imdbrating|imdburl|metascore|movieid|mpaarating|nvotes
Home on the Range|$50,030,461|$13,880,771|3,058|2004|Animation,Comedy,Family,Music,Western|0299172|5.4|http://akas.imdb.com/title/tt0299172/|50|0299172|PG|13326
Fat Albert|$48,116,322|$10,021,510|2,744|2004|Comedy,Family,Fantasy,Romance|0396592|4.3|http://akas.imdb.com/title/tt0396592/|39|0396592|PG|9293
Secret Window|$48,022,900|$18,237,568|3,018|2004|Mystery,Thriller|0363988|6.6|http://akas.imdb.com/title/tt0363988/|46|0363988|PG-13|145838
Walking Tall|$46,437,717|$15,501,114|2,836|2004|Action,Crime|0351977|6.2|http://akas.imdb.com/title/tt0351977/|44|0351977|PG-13|52308
In Good Company|$45,806,659|$151,750|1,963|2004|Comedy,Drama,Romance|0385267|6.5|http://akas.imdb.com/title/tt0385267/|66|0385267|PG-13|48739
Napoleon Dynamite|$44,540,956|$116,666|1,027|2004|Comedy|0374900|6.9|http://akas.imdb.com/title/tt0374900/|64|0374900|PG|159728
Spanglish|$42,726,869|$8,817,853|2,587|2004|Comedy,Drama,Romance|0371246|6.5|http://akas.imdb.com/title/tt0371246/|48|0371246|PG-13|65132
Exorcist: The Beginning|$41,821,986|$18,054,001|2,813|2004|Horror,Mystery,Thriller|0204313|5.1|http://akas.imdb.com/title/tt0204313/|30|0204313|R|28417
You Got Served|$40,363,810|$16,123,105|1,943|2004|Drama,Music|0365957|3.5|http://akas.imdb.com/title/tt0365957/|37|0365957|PG-13|23606
Bridget Jones: The Edge of Reason|$40,226,215|$8,684,055|2,473|2004|Comedy,Drama,Romance|0317198|5.9|http://akas.imdb.com/title/tt0317198/|44|0317198|R|73214
Catwoman|$40,202,379|$16,728,411|3,117|2004|Action,Crime,Fantasy,Romance,Thriller|0327554|3.3|http://akas.imdb.com/title/tt0327554/|27|0327554|PG-13|86455
The Ladykillers|$39,799,191|$12,634,563|1,589|2004|Comedy,Crime,Thriller|0335245|6.2|http://akas.imdb.com/title/tt0335245/|56|0335245|R|83312
Sky Captain and the World of Tomorrow|$37,762,677|$15,580,278|3,170|2004|Action,Adventure,Mystery,Sci-Fi,Thriller|0346156|6.1|http://akas.imdb.com/title/tt0346156/|64|0346156|PG|72406
Raising Helen|$37,486,512|$10,985,597|2,721|2004|Comedy,Drama,Romance|0350028|6.0|http://akas.imdb.com/title/tt0350028/|38|0350028|PG-13|30544
Taxi|$36,611,066|$12,029,832|3,001|2004|Action,Comedy,Crime,Thriller|0316732|4.4|http://akas.imdb.com/title/tt0316732/|27|0316732|PG-13|32589
Eternal Sunshine of the Spotless Mind|$34,400,301|$8,175,198|1,357|2004|Drama,Romance,Sci-Fi|0338013|8.3|http://akas.imdb.com/title/tt0338013/|89|0338013|R|655515
Alexander|$34,297,191|$13,687,087|2,445|2004|Action,Adventure,Biography,Drama,History,Romance,War|0346491|5.5|http://akas.imdb.com/title/tt0346491/|39|0346491|R|137818
Closer|$33,987,757|$7,707,972|1,098|2004|Drama,Romance|0376541|7.3|http://akas.imdb.com/title/tt0376541/|65|0376541|R|166932
The Punisher|$33,810,189|$13,834,527|2,649|2004|Action,Crime,Drama,Romance,Thriller|0330793|6.5|http://akas.imdb.com/title/tt0330793/|33|0330793|R|122916
Team America: World Police|$32,786,074|$12,120,358|2,620|2004|Action,Comedy|0372588|7.2|http://akas.imdb.com/title/tt0372588/|64|0372588|R|134700
Taking Lives|$32,682,342|$11,458,465|2,705|2004|Crime,Mystery,Thriller|0364045|6.2|http://akas.imdb.com/title/tt0364045/|38|0364045|R|64680
Anacondas: The Hunt for the Blood Orchid|$32,238,923|$12,812,287|2,905|2004|Adventure,Horror|0366174|4.6|http://akas.imdb.com/title/tt0366174/|40|0366174|PG-13|21901
Cellular|$32,003,620|$10,100,571|2,763|2004|Action,Crime,Thriller|0337921|6.5|http://akas.imdb.com/title/tt0337921/|60|0337921|PG-13|78471
Johnson Family Vacation|$31,203,964|$9,375,307|1,326|2004|Comedy|0359517|4.3|http://akas.imdb.com/title/tt0359517/|29|0359517|PG-13|5864
Confessions of a Teenage Drama Queen|$29,331,068|$9,350,572|2,503|2004|Comedy,Family,Music,Romance|0361467|4.6|http://akas.imdb.com/title/tt0361467/|33|0361467|PG|23201
After the Sunset|$28,331,233|$11,100,392|2,819|2004|Action,Comedy,Crime,Drama|0367479|6.3|http://akas.imdb.com/title/tt0367479/|38|0367479|PG-13|38043
The Prince and Me|$28,176,497|$9,406,378|2,711|2004|Comedy,Family,Romance|0337697|5.9|http://akas.imdb.com/title/tt0337697/|47|0337697|PG|31644
Garden State|$26,782,316|$201,115|813|2004|Comedy,Drama,Romance|0333766|7.6|http://akas.imdb.com/title/tt0333766/|67|0333766|R|186555
