amazon|amazon_link|hulu|hulu_link|imdbid|netflix|netflix_link
0||0||0780521|0|
0||0||1152836|0|
0||0||1135503|0|
0||0||1001508|0|
0||0||1142800|0|
0||0||1193138|0|
0||0||0448011|0|
0||0||1114677|0|
0||0||0386117|0|
1|https://www.amazon.com/Coraline-Dakota-Fanning/dp/B002LAM7PI|0||0327597|0|
0||0||1197624|0|
0||0||0785006|0|
0||0||1477715|0|
0||0||1155056|0|
0||0||1075417|0|
0||0||1144884|0|
0||0||1111422|0|
0||0||0758746|0|
0||0||0974661|0|
0||0||0452694|0|
0||0||0821640|0|
0||0||1201167|0|
0||0||1385912|0|
0||0||1179891|0|
0||0||0929632|0|
0||0||0834001|0|
0||0||1093908|0|
0||0||0380510|0|
0||0||1127180|0|
0||0||1148204|0|
0||0||1263670|0|
0||0||0986263|0|
0||0||1186367|0|
0||0||0472198|0|
0||0||1020876|0|
0||0||1130080|0|
0||0||0844708|0|
0||0||1234548|0|
0||0||1022603|0|
0||0||0465580|0|
0||0||0821642|0|
0||0||1233227|0|
0||0||0435761|0|
0||0||1228705|0|
0||0||1325004|0|
0||0||0892791|0|
0||0||0892769|0|
0||0||0398286|0|
0||0||1104001|0|
0||0||1403865|0|
0||0||1001526|0|
0||0||1504320|0|
0||0||1130884|0|
0||0||0944835|0|
0||0||1116184|0|
0||0||0947798|0|
0||0||0980970|0|
0||0||1279935|0|
0||0||1285016|0|
0||0||0964517|0|
0||0||0814255|0|
0||0||0477080|0|
0||0||1196141|0|
0||0||0963966|0|
0||0||1226229|0|
0||0||1391137|0|
0||0||1028576|0|
0||0||1135084|0|
0||0||1219342|0|
0||0||1433813|0|
0||0||1231587|0|
0||0||1126591|0|
0||0||0455407|0|
0||0||1392197|0|
0||0||1212419|0|
0||0||0815236|0|
0||0||0446029|0|
0||0||1415283|0|
0||0||0889573|0|
0||0||0985694|0|
0||0||1201607|0|
0||0||1399103|0|
0||0||1229238|0|
0||0||1318514|0|
0||0||0458339|0|
0||0||1454029|0|
0||0||1478338|0|
0||0||1302011|0|
0||0||0448694|0|
0||0||1270798|0|
0||0||0472181|0|
0||0||1650062|0|
0||0||1192628|0|
0||0||1499658|0|
0||0||1778304|0|
0||0||1568346|0|
0||0||0377981|0|
0||0||1204342|0|
0||0||1253864|0|
0||0||1033575|0|
0||0||1222817|0|
0||0||1568911|0|
0||0||1219289|0|
0||0||0471042|0|
0||0||0983193|0|
0||0||1598778|0|
0||0||1389137|0|
0||0||1702443|0|
0||0||1564349|1|https://www.netflix.com/title/70202147
0||0||1411238|0|
0||0||1396218|0|
0||0||1067583|0|
0||1||1605783|0|
0||0||1632708|0|
0||0||0945513|0|
0||0||1787759|0|
0||0||1650043|0|
0||0||1068242|0|
0||0||1430607|0|
0||0||1655442|0|
0||0||1622979|0|
0||0||1124035|0|
0||0||1640484|0|
0||0||1622547|0|
0||0||1657507|0|
0||0||1268799|0|
0||0||1306980|0|
0||0||0848228|0|
0||0||1345836|0|
0||0||1392170|0|
0||0||1074638|0|
0||0||0948470|0|
0||0||1277953|0|
0||0||1482459|0|
