awards|imdbid|oscars
Nominated for 1 Golden Globe. Another 6 wins & 33 nominations.|0246460|none
3 wins & 8 nominations.|0267913|none
Nominated for 1 Oscar. Another 10 wins & 27 nominations.|0275847|nom
4 wins & 13 nominations.|0295701|none
1 win & 3 nominations.|0304669|none
Nominated for 1 Oscar. Another 18 wins & 76 nominations.|0181689|nom
14 wins & 11 nominations.|0298130|none
3 wins & 6 nominations.|0256415|none
4 wins & 7 nominations.|0280590|none
3 wins & 5 nominations.|0258463|none
2 wins & 4 nominations.|0164184|none
Won 1 Oscar. Another 12 wins & 21 nominations.|0298203|won
Won 1 Oscar. Another 20 wins & 75 nominations.|0257044|won
1 win & 9 nominations.|0258000|none
8 nominations.|0252076|none
1 win & 3 nominations.|0313737|none
1 win & 1 nomination.|0290296|none
4 wins & 10 nominations.|0289765|none
2 wins & 3 nominations.|0277296|none
3 wins & 3 nominations.|0287717|none
6 wins & 9 nominations.|0187738|none
1 win.|0281373|none
1 win & 5 nominations.|0277434|none
Nominated for 10 Oscars. Another 47 wins & 117 nominations.|0217505|nom
1 win & 17 nominations.|0303714|none
5 wins & 4 nominations.|0265662|none
Nominated for 1 Oscar. Another 8 wins & 19 nominations.|0166813|nom
2 wins & 8 nominations.|0251160|none
1 win & 7 nominations.|0279778|none
1 win & 10 nominations.|0278504|none
7 nominations.|0264472|none
Nominated for 2 Oscars. Another 24 wins & 67 nominations.|0257360|nom
1 win & 4 nominations.|0243585|none
1 win & 7 nominations.|0322802|none
Nominated for 1 Oscar. Another 1 win & 2 nominations.|0268695|nom
12 nominations.|0303933|none
N/A|0245844|none
Nominated for 1 Oscar. Another 3 wins & 13 nominations.|0250797|nom
1 win & 6 nominations.|0308506|none
2 wins & 1 nomination.|0290095|none
5 nominations.|0280030|none
1 win & 3 nominations.|0265298|none
1 win & 4 nominations.|0253754|none
1 win & 2 nominations.|0253556|none
Won 1 Oscar. Another 41 wins & 120 nominations.|0274558|won
2 nominations.|0257756|none
Nominated for 1 Oscar. Another 11 wins & 28 nominations.|0276751|nom
4 wins & 2 nominations.|0281358|none
3 nominations.|0273923|none
1 win & 4 nominations.|0245562|none
1 win & 7 nominations.|0300532|none
5 nominations.|0295427|none
6 nominations.|0120804|none
Nominated for 1 Oscar. Another 10 nominations.|0282120|nom
N/A|0233469|none
4 nominations.|0278435|none
1 win & 7 nominations.|0279493|none
Nominated for 1 Oscar. Another 1 win & 13 nominations.|0133240|nom
2 wins & 5 nominations.|0284490|none
1 win & 2 nominations.|0243736|none
2 wins & 14 nominations.|0275022|none
N/A|0157472|none
1 win & 2 nominations.|0265349|none
