awards|imdbid|oscars
1 win & 6 nominations.|1502404|none
2 nominations.|0999913|none
5 wins & 22 nominations.|1606392|none
1 win & 1 nomination.|0844993|none
1 nomination.|1604171|none
2 wins & 2 nominations.|1742650|none
2 nominations.|1634122|none
1 win & 1 nomination.|1999192|none
N/A|1053810|none
Won 1 Oscar. Another 76 wins & 42 nominations.|1832382|won
1 nomination.|0810922|none
1 win & 4 nominations.|1477837|none
2 wins.|1777610|none
Nominated for 1 Golden Globe. Another 18 wins & 26 nominations.|1571222|none
Nominated for 1 Golden Globe. Another 14 wins & 25 nominations.|1540133|none
Nominated for 1 Oscar. Another 8 wins & 23 nominations.|1615147|nom
1 win.|0480239|none
Nominated for 1 Oscar. Another 7 wins & 8 nominations.|1521197|nom
5 nominations.|1699147|none
10 wins & 12 nominations.|1753549|none
N/A|2072107|none
Nominated for 1 Golden Globe. Another 48 wins & 88 nominations.|1723811|none
2 wins & 6 nominations.|1285241|none
Nominated for 1 Oscar. Another 10 wins & 23 nominations.|1440266|nom
9 wins & 6 nominations.|1758692|none
N/A|3643858|none
Nominated for 1 Golden Globe. Another 24 wins & 63 nominations.|1189073|none
19 wins & 16 nominations.|1562872|none
2 wins & 2 nominations.|0893412|none
32 wins & 85 nominations.|1527186|none
22 wins & 68 nominations.|1441326|none
N/A|1753798|none
N/A|3572698|none
Nominated for 2 Golden Globes. Another 7 wins & 19 nominations.|1692486|none
1 win & 6 nominations.|1411664|none
9 wins & 6 nominations.|1562871|none
5 wins & 16 nominations.|1411697|none
4 wins & 10 nominations.|1729637|none
Nominated for 1 Oscar. Another 6 wins & 8 nominations.|1554091|nom
Nominated for 1 Golden Globe. Another 26 wins & 61 nominations.|1242460|none
41 wins & 35 nominations.|1675192|none
N/A|2131617|none
1 win & 1 nomination.|1464540|none
4 wins & 6 nominations.|1934231|none
1 win & 2 nominations.|1645080|none
1 win & 1 nomination.|0461336|none
N/A|2096563|none
2 nominations.|1270262|none
N/A|2447024|none
1 win & 1 nomination.|1541995|none
Nominated for 1 Oscar. Another 36 wins & 77 nominations.|0848228|nom
Nominated for 1 BAFTA Film Award. Another 38 wins & 100 nominations.|1345836|none
Nominated for 1 Golden Globe. Another 34 wins & 42 nominations.|1392170|none
Won 2 Oscars. Another 64 wins & 115 nominations.|1074638|won
Nominated for 3 Oscars. Another 9 wins & 69 nominations.|0903624|nom
20 wins & 11 nominations.|1673434|none
2 wins & 32 nominations.|0948470|none
Won 1 Oscar. Another 18 wins & 47 nominations.|1217209|won
Nominated for 1 Oscar. Another 13 wins & 27 nominations.|1637725|nom
1 win & 21 nominations.|1277953|none
3 wins & 8 nominations.|1482459|none
Nominated for 1 Oscar. Another 32 wins & 40 nominations.|1772341|nom
Won 2 Oscars. Another 107 wins & 235 nominations.|0443272|won
1 win & 13 nominations.|1409024|none
Won 2 Oscars. Another 52 wins & 137 nominations.|1853728|won
2 wins & 10 nominations.|1667889|none
Nominated for 2 Oscars. Another 13 wins & 31 nominations.|1735898|nom
Won 3 Oscars. Another 80 wins & 170 nominations.|1707386|won
Nominated for 1 Golden Globe. Another 3 wins & 14 nominations.|0837562|none
1 win & 3 nominations.|1397280|none
11 wins & 20 nominations.|1232829|none
Won 3 Oscars. Another 89 wins & 146 nominations.|1024648|won
Won 1 Oscar. Another 87 wins & 146 nominations.|1045658|won
Nominated for 1 Oscar. Another 6 wins & 43 nominations.|1446714|nom
1 win & 7 nominations.|1599348|none
3 wins & 16 nominations.|1606389|none
Won 4 Oscars. Another 74 wins & 119 nominations.|0454876|won
8 wins & 15 nominations.|1915581|none
1 win & 11 nominations.|1194173|none
3 wins & 4 nominations.|1397514|none
Nominated for 1 Golden Globe. Another 14 wins & 30 nominations.|1446192|none
Won 1 Oscar. Another 84 wins & 167 nominations.|1790885|won
Nominated for 2 Oscars. Another 16 wins & 41 nominations.|1907668|nom
4 wins & 13 nominations.|1621045|none
2 wins & 6 nominations.|1790886|none
3 wins & 5 nominations.|1764651|none
2 wins & 2 nominations.|1646987|none
1 win & 4 nominations.|0790724|none
2 wins & 12 nominations.|1077368|none
1 win & 4 nominations.|1047540|none
2 wins & 7 nominations.|0401729|none
Nominated for 1 Golden Globe. Another 1 win & 6 nominations.|1591479|none
2 wins & 10 nominations.|1758830|none
N/A|1524137|none
15 wins & 42 nominations.|1276104|none
1 win & 5 nominations.|2215285|none
4 wins & 14 nominations.|1440129|none
6 wins & 20 nominations.|1981677|none
Nominated for 1 Oscar. Another 2 wins & 8 nominations.|1667353|nom
2 wins & 6 nominations.|1706593|none
Nominated for 1 Golden Globe. Another 2 wins & 4 nominations.|1535438|none
1 win.|1496025|none
6 wins & 7 nominations.|1327194|none
1 win & 1 nomination.|1645170|none
1 win & 5 nominations.|1386703|none
N/A|2495766|none
1 win & 3 nominations.|1605630|none
Nominated for 1 Oscar. Another 19 wins & 43 nominations.|1623288|nom
1 win & 6 nominations.|1596350|none
4 nominations.|1636826|none
5 wins & 12 nominations.|1596365|none
2 wins.|2109184|none
2 wins & 3 nominations.|1560985|none
1 win & 8 nominations.|1462769|none
2 wins & 9 nominations.|0485985|none
5 nominations.|0431021|none
2 wins & 7 nominations.|2023453|none
3 wins & 13 nominations.|1922777|none
1 win.|2184140|none
6 nominations.|1615065|none
Nominated for 1 Oscar. Another 37 wins & 115 nominations.|1748122|nom
3 nominations.|1648179|none
2 wins & 4 nominations.|1234719|none
4 nominations.|0383010|none
2 wins & 5 nominations.|1855325|none
18 wins & 33 nominations.|1259521|none
13 nominations.|1586265|none
3 wins & 11 nominations.|1855199|none
1 win & 9 nominations.|1336608|none
1 nomination.|1611224|none
1 win & 8 nominations.|1212450|none
1 nomination.|1694020|none
6 wins & 10 nominations.|1232200|none
2 wins & 1 nomination.|2083383|none
2 nominations.|1298649|none
Nominated for 1 Oscar. Another 11 wins & 47 nominations.|1142977|nom
N/A|1800741|none
5 nominations.|1885265|none
N/A|1686902|none
1 nomination.|2247692|none
2 wins & 3 nominations.|1582507|none
Nominated for 1 Oscar. Another 19 nominations.|1430626|nom
1 nomination.|1710396|none
2 nominations.|1222815|none
1 nomination.|1195478|none
Nominated for 1 Golden Globe. Another 16 wins & 70 nominations.|1371111|none
1 win & 1 nomination.|1598828|none
4 nominations.|1712170|none
1 win.|2215719|none
7 nominations.|1876451|none
1 win & 5 nominations.|1547234|none
1 nomination.|1430615|none
Nominated for 1 Oscar. Another 27 wins & 64 nominations.|1649419|nom
1 nomination.|1568338|none
3 nominations.|0763831|none
1 nomination.|1991245|none
19 wins & 48 nominations.|1659337|none
7 nominations.|0938330|none
1 win.|1655460|none
2 nominations.|1656190|none
1 win & 5 nominations.|1859650|none
Nominated for 3 Oscars. Another 76 wins & 177 nominations.|1560747|nom
4 nominations.|1486192|none
3 nominations.|1258972|none
3 wins & 8 nominations.|1764234|none
3 wins & 21 nominations.|1931533|none
1 win & 1 nomination.|2073128|none
1 nomination.|1592525|none
1 win.|2097307|none
2 wins & 14 nominations.|1343727|none
3 nominations.|1540128|none
Won 1 Oscar. Another 28 wins & 52 nominations.|1781769|won
Nominated for 4 Oscars. Another 91 wins & 123 nominations.|2125435|nom
N/A|3462264|none
1 nomination.|1792647|none
N/A|1716777|none
N/A|1838544|none
1 win & 3 nominations.|1840417|none
N/A|1663143|none
Nominated for 1 Golden Globe. Another 4 wins & 4 nominations.|1764183|none
3 wins & 6 nominations.|2091473|none
N/A|2799692|none
4 nominations.|1307068|none
N/A|1748227|none
Won 1 Oscar. Another 76 wins & 101 nominations.|1602620|won
Nominated for 1 Golden Globe. Another 1 win & 4 nominations.|1477855|none
Nominated for 1 Oscar. Another 4 wins & 27 nominations.|0975645|nom
N/A|1629757|none
Nominated for 1 Oscar. Another 18 wins & 62 nominations.|1866249|nom
2 wins & 5 nominations.|1702425|none
2 wins & 9 nominations.|1566501|none
1 win & 3 nominations.|1870529|none
1 nomination.|1433822|none
7 wins & 18 nominations.|1862079|none
2 nominations.|1366365|none
Won 1 Oscar. Another 37 wins & 30 nominations.|2125608|won
N/A|1815852|none
3 nominations.|1985017|none
N/A|2359137|none
2 wins & 6 nominations.|1990314|none
4 nominations.|1405365|none
13 wins & 19 nominations.|2176013|none
5 wins & 12 nominations.|1787988|none
35 wins & 21 nominations.|2082197|none
N/A|2911094|none
6 wins & 3 nominations.|1817676|none
1 win & 10 nominations.|1839492|none
6 wins & 6 nominations.|2112131|none
8 wins & 26 nominations.|2125666|none
9 wins & 3 nominations.|2016894|none
3 wins & 4 nominations.|2077851|none
Nominated for 2 Golden Globes. Another 32 wins & 67 nominations.|2053425|none
N/A|2574378|none
12 wins & 19 nominations.|1849718|none
7 wins & 15 nominations.|2181931|none
N/A|1954352|none
9 wins & 7 nominations.|1980986|none
N/A|2513552|none
N/A|3509488|none
6 wins & 12 nominations.|1753813|none
1 nomination.|1226240|none
Nominated for 1 Oscar. Another 21 wins & 36 nominations.|1276419|nom
Nominated for 1 BAFTA Film Award. Another 1 win & 7 nominations.|1183919|none
Nominated for 1 Oscar. Another 9 wins & 3 nominations.|1579361|nom
N/A|1535421|none
Nominated for 1 Golden Globe. Another 21 wins & 59 nominations.|1951264|none
Nominated for 1 Oscar. Another 17 wins & 52 nominations.|1300854|nom
Won 2 Oscars. Another 70 wins & 56 nominations.|2294629|won
Nominated for 2 Oscars. Another 12 wins & 63 nominations.|1690953|nom
7 wins & 42 nominations.|0770828|none
Won 7 Oscars. Another 213 wins & 168 nominations.|1454468|won
Nominated for 1 BAFTA Film Award. Another 9 wins & 54 nominations.|1453405|none
Nominated for 3 Oscars. Another 14 wins & 80 nominations.|1170358|nom
8 wins & 21 nominations.|1905041|none
5 wins & 31 nominations.|1623205|none
Nominated for 1 Oscar. Another 6 wins & 45 nominations.|1408101|nom
2 wins & 18 nominations.|1981115|none
3 wins & 23 nominations.|0816711|none
Nominated for 1 Oscar. Another 5 wins & 41 nominations.|0481499|nom
7 wins & 15 nominations.|2404463|none
3 wins & 14 nominations.|1723121|none
Nominated for 10 Oscars. Another 65 wins & 202 nominations.|1800241|nom
Won 2 Oscars. Another 43 wins & 73 nominations.|1343092|won
14 wins & 21 nominations.|1457767|none
1 win & 8 nominations.|2024432|none
4 wins & 15 nominations.|2191701|none
2 wins & 10 nominations.|1430132|none
1 win & 23 nominations.|1229340|none
Nominated for 2 Oscars. Another 5 wins & 14 nominations.|1091191|nom
1 win & 11 nominations.|1583421|none
16 nominations.|1985966|none
1 win & 3 nominations.|1670345|none
Nominated for 5 Oscars. Another 35 wins & 154 nominations.|0993846|nom
Nominated for 2 BAFTA Film Awards. Another 17 wins & 50 nominations.|1327773|none
2 wins & 6 nominations.|1951261|none
2 wins & 21 nominations.|0848537|none
Nominated for 6 Oscars. Another 16 wins & 137 nominations.|1535109|nom
Nominated for 1 Oscar. Another 1 win & 8 nominations.|3063516|nom
Nominated for 1 BAFTA Film Award. Another 4 wins & 42 nominations.|1663662|none
10 wins & 19 nominations.|1245492|none
1 win & 5 nominations.|2302755|none
3 wins & 17 nominations.|0453562|none
1 win & 9 nominations.|1535108|none
5 nominations.|1691917|none
Nominated for 2 Oscars. Another 4 wins & 17 nominations.|1210819|nom
11 nominations.|1483013|none
15 nominations.|2226417|none
Nominated for 1 Oscar. Another 12 wins & 71 nominations.|2140373|nom
1 win & 11 nominations.|1860353|none
2 wins.|1272878|none
3 wins & 9 nominations.|2334879|none
11 wins & 17 nominations.|2023587|none
3 wins & 6 nominations.|1702439|none
8 nominations.|2017020|none
3 wins & 15 nominations.|2083355|none
1 win & 5 nominations.|1854564|none
3 wins & 7 nominations.|1606378|none
1 win & 9 nominations.|1588173|none
1 win & 4 nominations.|1351685|none
1 win & 6 nominations.|2184339|none
4 wins & 1 nomination.|1204975|none
1 win & 6 nominations.|1731141|none
Nominated for 1 Oscar. Another 10 wins & 34 nominations.|1392214|nom
3 wins & 7 nominations.|1815862|none
5 wins & 16 nominations.|0359950|none
1 win.|0765446|none
Won 3 Oscars. Another 233 wins & 312 nominations.|2024544|won
2 nominations.|1621039|none
1 win & 4 nominations.|1428538|none
6 wins & 16 nominations.|1288558|none
3 nominations.|1821694|none
1 win & 6 nominations.|2609758|none
1 win & 5 nominations.|2070862|none
1 win & 10 nominations.|1911644|none
4 nominations.|1980209|none
4 nominations.|1321870|none
1 nomination.|2234155|none
5 wins & 2 nominations.|2378281|none
1 nomination.|0882977|none
2 nominations.|1411250|none
1 win & 1 nomination.|2243537|none
5 nominations.|1335975|none
Nominated for 2 Oscars. Another 15 wins & 61 nominations.|1322269|nom
Nominated for 4 Oscars. Another 30 wins & 74 nominations.|2431286|nom
1 nomination.|2404311|none
1 nomination.|1762399|none
5 wins & 7 nominations.|1939659|none
2 wins & 7 nominations.|1572315|none
N/A|0790736|none
Won 1 Oscar. Another 51 wins & 74 nominations.|2334873|won
1 win & 1 nomination.|2609912|none
4 nominations.|2053463|none
5 nominations.|0795461|none
6 wins & 10 nominations.|1538403|none
N/A|2387559|none
1 win & 1 nomination.|1661382|none
1 nomination.|2515086|none
1 win & 6 nominations.|1650554|none
Won 3 Oscars. Another 79 wins & 77 nominations.|0790636|won
Nominated for 2 Golden Globes. Another 6 wins & 54 nominations.|1979320|none
1 win & 2 nominations.|1517260|none
5 wins & 20 nominations.|1213663|none
1 win & 1 nomination.|1711425|none
Won 1 Oscar. Another 76 wins & 174 nominations.|1798709|won
2 nominations.|1211956|none
1 win & 28 nominations.|2229499|none
1 win & 4 nominations.|0790628|none
2 nominations.|1931435|none
1 nomination.|1171222|none
5 wins & 30 nominations.|1727388|none
Nominated for 1 Oscar. Another 7 wins & 14 nominations.|0816442|nom
1 nomination.|2312718|none
N/A|1235522|none
9 nominations.|1559547|none
1 nomination.|2364841|none
N/A|1814621|none
Nominated for 6 Oscars. Another 26 wins & 157 nominations.|1821549|nom
1 nomination.|1904996|none
Nominated for 1 Golden Globe. Another 9 wins & 36 nominations.|2390361|none
N/A|2387433|none
4 wins & 3 nominations.|2193215|none
2 nominations.|2357129|none
39 wins & 52 nominations.|2334649|none
3 wins & 9 nominations.|2194499|none
1 win & 2 nominations.|2034139|none
Nominated for 2 Oscars. Another 44 wins & 153 nominations.|2042568|nom
1 win & 2 nominations.|1549920|none
2 wins & 8 nominations.|1206543|none
N/A|2101341|none
1 nomination.|2167202|none
N/A|2750270|none
1 nomination.|1532958|none
4 wins & 5 nominations.|1333125|none
Nominated for 1 Oscar. Another 10 wins & 28 nominations.|2304771|nom
Nominated for 1 Oscar. Another 19 wins & 56 nominations.|2209418|nom
15 wins & 25 nominations.|1833673|none
2 wins & 1 nomination.|2385006|none
3 nominations.|2002718|none
1 nomination.|1413495|none
1 nomination.|3195742|none
2 wins & 5 nominations.|1425922|none
10 wins & 30 nominations.|1714206|none
Nominated for 2 Oscars. Another 53 wins & 50 nominations.|1462900|nom
Nominated for 1 Oscar. Another 3 wins & 43 nominations.|2017038|nom
2 wins & 1 nomination.|2009606|none
4 wins & 6 nominations.|2132285|none
N/A|3203890|none
N/A|2218003|none
28 wins & 55 nominations.|2112124|none
N/A|3575750|none
Won 1 Oscar. Another 20 wins & 24 nominations.|2396566|won
N/A|4078098|none
22 wins & 92 nominations.|2178470|none
N/A|1758795|none
1 win & 3 nominations.|2172935|none
2 wins & 3 nominations.|1837703|none
3 wins & 16 nominations.|2294677|none
N/A|2051894|none
Won 1 Oscar. Another 53 wins & 73 nominations.|2358891|won
29 wins & 90 nominations.|2215477|none
N/A|2349460|none
N/A|2668508|none
N/A|1618432|none
1 win & 3 nominations.|1670345|none
3 wins & 3 nominations.|1924429|none
1 win & 7 nominations.|1869716|none
N/A|2739338|none
Nominated for 1 Golden Globe. Another 83 wins & 92 nominations.|2278871|none
4 nominations.|1321511|none
9 wins & 23 nominations.|1029231|none
1 nomination.|1985019|none
6 wins & 7 nominations.|2887322|none
N/A|2691580|none
Nominated for 1 BAFTA Film Award. Another 7 wins & 36 nominations.|2545118|none
2 nominations.|2444946|none
N/A|2635622|none
4 wins & 34 nominations.|1682180|none
50 wins & 36 nominations.|2356180|none
3 wins & 14 nominations.|1375789|none
3 wins.|1390398|none
4 wins & 5 nominations.|3042926|none
N/A|3668454|none
2 wins & 9 nominations.|2243389|none
Won 1 Oscar. Another 18 wins & 38 nominations.|2179136|won
Nominated for 1 Golden Globe. Another 15 wins & 25 nominations.|1951265|none
Nominated for 2 Oscars. Another 48 wins & 92 nominations.|2015381|nom
Nominated for 1 Oscar. Another 5 wins & 49 nominations.|1843866|nom
Nominated for 1 Oscar. Another 68 wins & 58 nominations.|1490017|nom
Nominated for 1 Oscar. Another 6 wins & 45 nominations.|2310332|nom
5 wins & 21 nominations.|2109248|none
Nominated for 1 Oscar. Another 9 wins & 37 nominations.|1587310|nom
Nominated for 1 Oscar. Another 13 wins & 41 nominations.|1877832|nom
Won 1 Oscar. Another 13 wins & 53 nominations.|2245084|won
Nominated for 1 Oscar. Another 14 wins & 44 nominations.|2103281|nom
3 wins & 29 nominations.|1872181|none
5 wins & 27 nominations.|0831387|none
7 wins & 22 nominations.|2294449|none
1 win & 10 nominations.|1291150|none
Won 1 Oscar. Another 39 wins & 131 nominations.|0816692|won
Nominated for 1 Oscar. Another 13 wins & 59 nominations.|1646971|nom
Nominated for 1 Oscar. Another 63 wins & 164 nominations.|2267998|nom
7 wins & 11 nominations.|1840309|none
6 wins & 11 nominations.|2004420|none
1 win & 7 nominations.|1408253|none
1 win & 19 nominations.|2357291|none
Nominated for 3 Oscars. Another 11 wins & 64 nominations.|2180411|nom
8 nominations.|2872732|none
20 wins & 12 nominations.|2582846|none
Nominated for 3 Oscars. Another 13 wins & 25 nominations.|1809398|nom
1 win & 3 nominations.|2692250|none
2 wins & 16 nominations.|0864835|none
1 win & 5 nominations.|1253863|none
3 wins & 10 nominations.|1790864|none
1 win & 6 nominations.|0455944|none
Nominated for 1 Golden Globe. Another 16 nominations.|1959490|none
11 wins & 34 nominations.|1631867|none
1 nomination.|2024469|none
2 nominations.|1929263|none
Won 1 Oscar. Another 44 wins & 144 nominations.|2084970|won
1 win & 6 nominations.|2096672|none
Nominated for 2 Golden Globes. Another 3 wins & 10 nominations.|1823664|none
5 wins & 18 nominations.|2713180|none
1 win & 6 nominations.|2103254|none
6 nominations.|3322940|none
3 wins & 4 nominations.|2203939|none
6 nominations.|1911658|none
1 nomination.|1924435|none
3 wins & 2 nominations.|2177771|none
2 nominations.|1267297|none
1 win & 4 nominations.|2975578|none
1 win & 7 nominations.|1698641|none
2 wins & 4 nominations.|2239832|none
4 nominations.|1528100|none
1 win & 4 nominations.|1821658|none
N/A|2528814|none
2 wins & 1 nomination.|3210686|none
Won 4 Oscars. Another 118 wins & 208 nominations.|2278388|won
6 nominations.|2980706|none
4 wins & 1 nomination.|1234721|none
2 wins & 3 nominations.|0829150|none
1 win & 2 nominations.|2170439|none
Nominated for 1 Golden Globe. Another 2 wins & 1 nomination.|2980648|none
2 wins & 2 nominations.|2011159|none
Won 1 Oscar. Another 55 wins & 84 nominations.|1020072|won
3 wins & 9 nominations.|2281587|none
1 win.|1204977|none
Nominated for 1 Oscar. Another 8 wins & 58 nominations.|0787474|nom
2 nominations.|1205537|none
2 wins & 1 nomination.|1355630|none
Nominated for 1 Golden Globe. Another 2 wins & 27 nominations.|2262227|none
1 nomination.|1826590|none
1 win & 1 nomination.|2106361|none
Nominated for 1 Oscar. Another 3 wins & 8 nominations.|1872194|nom
3 wins & 2 nominations.|1742044|none
1 win & 10 nominations.|1086772|none
1 win & 5 nominations.|0435651|none
Nominated for 2 Golden Globes. Another 6 wins & 17 nominations.|2170593|none
1 win & 1 nomination.|2369135|none
6 nominations.|2557490|none
4 wins & 6 nominations.|2911666|none
Won 4 Oscars. Another 177 wins & 255 nominations.|2562232|won
2 nominations.|2978462|none
1 win & 4 nominations.|2333784|none
2 wins & 1 nomination.|2183034|none
2 wins & 3 nominations.|1956620|none
Nominated for 2 Oscars. Another 9 wins & 62 nominations.|2305051|nom
1 win & 2 nominations.|1647668|none
Won 1 Oscar. Another 24 wins & 114 nominations.|2980516|won
1 nomination.|1371150|none
1 win & 2 nominations.|2039393|none
2 nominations.|2473682|none
Nominated for 1 Oscar. Another 42 wins & 116 nominations.|2872718|nom
2 wins & 3 nominations.|2883512|none
6 wins & 15 nominations.|2473602|none
N/A|2172934|none
2 nominations.|2377322|none
N/A|2247476|none
1 nomination.|2223990|none
N/A|1972779|none
N/A|0365907|none
1 win & 2 nominations.|1800246|none
Won 1 Oscar. Another 169 wins & 202 nominations.|1065073|won
7 wins & 19 nominations.|2784678|none
N/A|2402157|none
1 win.|2318092|none
8 wins & 4 nominations.|1921064|none
2 wins & 5 nominations.|2209764|none
2 nominations.|2870612|none
1 nomination.|1430612|none
1 nomination.|1418377|none
1 win & 7 nominations.|1043726|none
2 nominations.|2458776|none
N/A|2205401|none
N/A|2828996|none
2 wins & 5 nominations.|1972571|none
2 nominations.|2752758|none
1 nomination.|2465146|none
N/A|2626350|none
Nominated for 1 Oscar. Another 4 wins & 21 nominations.|3125324|nom
Won 1 Golden Globe. Another 1 win & 16 nominations.|1126590|none
N/A|3438386|none
4 nominations.|2467046|none
3 wins & 6 nominations.|0458481|none
Won 3 Oscars. Another 84 wins & 125 nominations.|2582802|won
2 nominations.|1837709|none
Nominated for 5 Oscars. Another 12 wins & 72 nominations.|1100089|nom
6 nominations.|3322940|none
3 wins & 4 nominations.|1600196|none
2 nominations.|3231010|none
2 wins & 11 nominations.|2338151|none
1 win & 1 nomination.|2870756|none
2 wins & 5 nominations.|1742334|none
N/A|3014666|none
6 nominations.|2235779|none
Nominated for 2 Oscars. Another 14 wins & 89 nominations.|1791528|nom
2 nominations.|1686821|none
26 wins & 11 nominations.|3005242|none
1 win & 3 nominations.|2788710|none
N/A|4003774|none
Nominated for 1 Golden Globe. Another 13 wins & 44 nominations.|2937898|none
5 wins & 2 nominations.|1621046|none
4 wins & 10 nominations.|1571249|none
14 wins & 25 nominations.|2235108|none
N/A|4219294|none
1 win & 1 nomination.|2908856|none
Nominated for 4 Oscars. Another 19 wins & 55 nominations.|2473794|nom
9 wins & 27 nominations.|2234003|none
6 nominations.|2870708|none
49 wins & 59 nominations.|3612616|none
N/A|3692118|none
N/A|3324286|none
7 nominations.|2771372|none
N/A|1726592|none
1 win & 1 nomination.|2752688|none
9 wins & 28 nominations.|2910274|none
1 nomination.|2967006|none
1 win.|2326574|none
N/A|3532608|none
Won 1 Oscar. Another 42 wins & 34 nominations.|4044364|won
4 wins & 2 nominations.|4009460|none
N/A|2799166|none
2 wins & 3 nominations.|2652092|none
2 wins & 9 nominations.|2265171|none
6 wins & 17 nominations.|3541262|none
1 win & 6 nominations.|2905838|none
5 wins & 12 nominations.|2372222|none
1 win & 4 nominations.|1216491|none
4 wins & 14 nominations.|2398231|none
12 wins & 12 nominations.|3812366|none
2 wins & 17 nominations.|2639344|none
1 win & 20 nominations.|2372678|none
N/A|3230092|none
N/A|3517936|none
1 win & 4 nominations.|2618368|none
1 win & 4 nominations.|3099498|none
N/A|1761005|none
N/A|3741860|none
1 nomination.|2381335|none
Nominated for 1 Golden Globe. Another 8 wins & 16 nominations.|3169706|none
Nominated for 1 Oscar. Another 38 wins & 74 nominations.|2737050|nom
Nominated for 1 Golden Globe. Another 31 wins & 34 nominations.|3630276|none
Nominated for 5 Oscars. Another 30 wins & 95 nominations.|2488496|nom
4 wins & 52 nominations.|0369610|none
2 wins & 37 nominations.|2395427|none
Won 1 Oscar. Another 79 wins & 90 nominations.|2096673|won
Nominated for 1 Golden Globe. Another 17 wins & 24 nominations.|2820852|none
Nominated for 1 BAFTA Film Award. Another 16 nominations.|2293640|none
7 wins & 16 nominations.|1951266|none
Nominated for 7 Oscars. Another 33 wins & 164 nominations.|3659388|nom
Nominated for 1 Oscar. Another 7 wins & 24 nominations.|1661199|nom
Won 1 Oscar. Another 7 wins & 23 nominations.|2379713|won
2 wins & 17 nominations.|2381249|none
8 wins & 14 nominations.|2848292|none
Won 3 Oscars. Another 73 wins & 151 nominations.|1663202|won
Nominated for 1 BAFTA Film Award. Another 1 win & 27 nominations.|0478970|none
2 wins & 7 nominations.|2224026|none
1 win & 7 nominations.|2510894|none
Nominated for 1 Oscar. Another 7 wins & 17 nominations.|2322441|nom
4 nominations.|2279373|none
Nominated for 1 Oscar. Another 22 wins & 36 nominations.|1398426|nom
10 nominations.|2126355|none
Won 6 Oscars. Another 186 wins & 183 nominations.|1392190|won
1 win & 3 nominations.|1528854|none
2 wins & 6 nominations.|2908446|none
Nominated for 1 Golden Globe. Another 1 win & 42 nominations.|2452042|none
Nominated for 1 Golden Globe. Another 5 wins & 38 nominations.|1979388|none
Nominated for 2 Golden Globes. Another 3 wins & 17 nominations.|3079380|none
Nominated for 2 Golden Globes. Another 5 wins & 21 nominations.|3152624|none
Nominated for 1 Oscar. Another 43 wins & 53 nominations.|3076658|nom
1 win & 15 nominations.|1964418|none
1 nomination.|2561572|none
6 nominations.|1340138|none
4 nominations.|1850457|none
1 win & 4 nominations.|2974918|none
2 nominations.|4046784|none
4 nominations.|2637276|none
3 nominations.|1051904|none
1 win & 9 nominations.|2120120|none
1 win & 4 nominations.|2361509|none
Won 1 Oscar. Another 25 wins & 86 nominations.|3682448|won
1 win & 9 nominations.|3450650|none
Won 1 Oscar. Another 31 wins & 71 nominations.|1596363|won
N/A|3832914|none
2 wins & 1 nomination.|2268016|none
1 win & 10 nominations.|3567288|none
2 wins & 3 nominations.|0884732|none
4 wins & 18 nominations.|1355683|none
1 win & 3 nominations.|1524930|none
2 wins & 3 nominations.|3862750|none
Nominated for 1 Oscar. Another 4 wins & 18 nominations.|2446980|nom
7 wins & 3 nominations.|1502712|none
Won 1 Oscar. Another 30 wins & 99 nominations.|3460252|won
2 nominations.|2381941|none
8 nominations.|1798684|none
2 wins & 6 nominations.|3195644|none
3 nominations.|1029360|none
2 wins & 14 nominations.|1617661|none
Nominated for 3 Oscars. Another 11 wins & 124 nominations.|3397884|nom
4 wins & 2 nominations.|1638355|none
Won 2 Oscars. Another 109 wins & 122 nominations.|1895587|won
3 wins & 2 nominations.|2097298|none
1 win & 10 nominations.|4178092|none
7 nominations.|2719848|none
1 nomination.|3530002|none
1 win & 9 nominations.|3850590|none
1 nomination.|3369806|none
7 nominations.|1655441|none
Nominated for 3 Oscars. Another 30 wins & 141 nominations.|2381111|nom
1 win & 4 nominations.|2726560|none
1 win & 3 nominations.|3181822|none
7 nominations.|3332064|none
4 nominations.|2967224|none
Nominated for 1 Golden Globe. Another 4 wins & 14 nominations.|3322364|none
1 win & 7 nominations.|1666801|none
5 nominations.|2404425|none
1 nomination.|2555736|none
N/A|4836716|none
N/A|1674771|none
3 wins & 2 nominations.|3622592|none
1 nomination.|1823672|none
1 win & 33 nominations.|2554274|none
1 nomination.|1178665|none
N/A|2058673|none
N/A|2752772|none
N/A|1618442|none
N/A|1781922|none
3 nominations.|3623726|none
N/A|2199571|none
2 nominations.|2279339|none
N/A|2918436|none
Won 1 Oscar. Another 59 wins & 132 nominations.|0470752|won
1 win & 2 nominations.|1390411|none
1 nomination.|2309260|none
N/A|2679042|none
N/A|2436386|none
1 win & 6 nominations.|1243974|none
3 nominations.|1741273|none
Nominated for 1 Oscar. Another 1 win & 48 nominations.|2872750|nom
N/A|5161832|none
2 nominations.|2473510|none
Nominated for 2 Oscars. Another 20 wins & 103 nominations.|2080374|nom
15 nominations.|3168230|none
6 wins & 20 nominations.|3850214|none
1 win & 1 nomination.|3660770|none
N/A|2938956|none
Won 1 Oscar. Another 97 wins & 118 nominations.|3170832|won
N/A|3576352|none
N/A|3316948|none
1 nomination.|4183692|none
6 wins.|2503944|none
N/A|4056738|none
