Iris|$5,594,617|$23,144|220|2001
Say It Isn't So|$5,520,393|$2,861,903|1,974|2001
Monkeybone|$5,411,999|$2,685,078|1,748|2001
Amores Perros|$5,408,467|$61,047|187|2001
Bread and Tulips|$5,318,679|$32,933|84|2001
Made|$5,313,300|$118,003|182|2001
Bubble Boy|$5,007,898|$2,038,349|1,605|2001
Just Visiting|$4,781,539|$2,272,489|1,590|2001
The Other Side of Heaven|$4,720,371|$55,765|306|2001
Apocalypse Now Redux|$4,626,290|$96,992|105|2001
Lantana|$4,623,189|$66,701|108|2001
Tortilla Soup|$4,467,615|$653,729|220|2001
On the Line|$4,365,455|$2,307,063|901|2001
Glitter|$4,274,407|$2,414,596|1,225|2001
Left Behind|$4,224,065|$2,158,780|867|2001
The Anniversary Party|$4,047,329|$158,533|120|2001
China: The Panda Adventure (IMAX)|$3,921,642|$28,268|21|2001
With a Friend Like Harry|$3,830,441|$29,495|220|2001
Les Boys III|$3,557,100|$721,350|115|2001
Pootie Tang|$3,313,583|$1,506,233|712|2001
Soul Survivors|$3,111,545|$1,140,698|604|2001
The Widow of St. Pierre|$3,074,234|$31,702|83|2001
Hedwig and the Angry Inch|$3,067,312|$156,724|101|2001
Songcatcher|$3,059,834|$41,967|104|2001
The Golden Bowl|$3,050,532|$90,170|117|2001
Kabhi Khushi Kabhie Gham|$2,902,000|$110,000|44|2001
Waking Life|$2,901,447|$88,977|93|2001
In the Mood for Love|$2,738,980|$113,280|74|2001
The Dish|$2,552,992|$70,612|82|2001
Himalaya|$2,487,878|$21,881|34|2001
The Endurance: Shackleton's Antarctic Adventure|$2,453,083|$18,931|40|2001
Sidewalks of New York|$2,402,652|$545,132|224|2001
Gabriela|$2,335,352|$63,706|30|2001
Escanaba in 'da Moonlight|$2,276,602|$324,946|48|2001
Innocence|$2,202,382|$62,363|52|2001
Novocaine|$2,036,682|$418,098|189|2001
Monty Python and the Holy Grail (re-issue)|$1,827,696|$45,487|26|2001
'N Sync: Bigger Than Live (IMAX)|$1,808,679|$44,082|20|2001
Carman the Champion|$1,765,751|$769,080|232|2001
The Debut|$1,745,778|$42,534|5|2001
Under the Sand|$1,452,698|$32,657|25|2001
Greenfingers|$1,443,067|$65,584|49|2001
Kandahar|$1,418,314|$22,866|29|2001
Divided We Fall|$1,328,815|$28,583|37|2001
Startup.com|$1,283,356|$16,118|35|2001
The Road Home|$1,280,490|$40,557|37|2001
Nuit de noces|$1,238,180|$241,697|76|2001
L.I.E.|$1,138,836|$82,530|45|2001
Sordid Lives|$1,111,273|$14,000|8|2001
The Center of the World|$1,101,344|$67,809|45|2001
The Luzhin Defence|$1,053,070|$63,203|49|2001
Extreme Days|$1,047,553|$522,813|351|2001
Together|$1,034,829|$45,848|47|2001
The Business of Strangers|$1,030,920|$71,821|60|2001
The Bread, My Sweet|$1,023,156|$3,376|8|2001
All Over the Guy|$1,022,324|$41,606|35|2001
Liam|$1,016,021|$44,399|55|2001
No Man's Land|$1,012,153|$22,645|38|2001
Spider-Man|$403,706,375|$114,844,116|3,876|2002
The Lord of the Rings: The Two Towers|$339,789,881|$62,007,528|3,622|2002
Star Wars: Episode II - Attack of the Clones|$302,191,252|$80,027,814|3,161|2002
